superkingdom	kingdom	phylum	ERZ8580415_FASTA	ERZ11848497_FASTA	ERZ6778701_FASTA	ERZ8738822_FASTA	ERZ8733621_FASTA	ERZ8579358_FASTA	ERZ6778834_FASTA	ERZ6778577_FASTA	ERZ8733632_FASTA	ERZ8733623_FASTA	ERZ8733618_FASTA	ERZ8579990_FASTA	ERZ8579332_FASTA	ERZ8578522_FASTA	ERZ8578505_FASTA	ERZ11848502_FASTA	ERZ8733604_FASTA	ERZ6778699_FASTA	ERZ11848504_FASTA	ERZ11848501_FASTA	ERZ11848500_FASTA	ERZ6778423_FASTA	ERZ6778355_FASTA	ERZ11848499_FASTA	ERZ11848498_FASTA	ERZ8579323_FASTA	ERZ6778509_FASTA	ERZ6778357_FASTA	ERZ6778286_FASTA	ERZ11848505_FASTA	ERZ11848503_FASTA	ERZ6778216_FASTA	ERZ6778156_FASTA	ERZ6778252_FASTA	ERZ5402484_FASTA	ERZ5402369_FASTA	ERZ11848506_FASTA	ERZ11848495_FASTA	ERZ8578527_FASTA	ERZ5402371_FASTA	ERZ6778277_FASTA	ERZ6778215_FASTA	ERZ6762932_FASTA	ERZ6747575_FASTA	ERZ5402319_FASTA	ERZ5402364_FASTA	ERZ5402418_FASTA	ERZ5402580_FASTA	ERZ5402476_FASTA	ERZ5402471_FASTA	ERZ5402297_FASTA	ERZ5402281_FASTA	ERZ5402200_FASTA	ERZ5402190_FASTA	ERZ5402530_FASTA	ERZ5402506_FASTA	ERZ5402443_FASTA	ERZ5402431_FASTA	ERZ5402382_FASTA	ERZ5402351_FASTA	ERZ8733638_FASTA	ERZ5402342_FASTA	ERZ5402327_FASTA	ERZ5402317_FASTA	ERZ5402194_FASTA	ERZ5402186_FASTA	ERZ5402182_FASTA	ERZ5402157_FASTA	ERZ5402181_FASTA	ERZ5402179_FASTA	ERZ5402177_FASTA	ERZ5402172_FASTA	ERZ5402171_FASTA	ERZ5402170_FASTA	ERZ5402168_FASTA	ERZ5402161_FASTA	ERZ5402160_FASTA	ERZ5402155_FASTA	ERZ8733620_FASTA	ERZ8733614_FASTA	ERZ8580309_FASTA	ERZ11848496_FASTA	ERZ5402542_FASTA	ERZ5402156_FASTA	ERZ8733628_FASTA
Archaea	Unassigned	Candidatus_Diapherotrites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Candidatus_Woesearchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Euryarchaeota	11	18	6	11	17	5	9	14	11	14	10	9	8	22	16	8	5	10	20	12	18	4	10	13	8	8	6	3	13	11	29	6	5	8	5	1	14	14	13	0	0	0	3	2	5	1	16	12	1	7	3	0	0	1	3	2	0	0	2	13	18	3	5	5	1	1	0	1	2	0	0	0	0	1	1	1	0	0	5	9	18	10	4	0	12
Archaea	Unassigned	Nanoarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	11	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Thaumarchaeota	2	1	3	3	1	0	1	2	2	1	0	1	2	1	3	4	5	2	3	1	1	3	1	10	2	2	0	3	0	1	4	1	1	3	0	0	1	1	0	1	0	2	0	0	2	2	1	1	0	0	0	3	1	0	0	1	0	0	1	5	1	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	2	0	1
Archaea	Unassigned	Unassigned	0	2	0	2	2	1	0	2	2	1	3	1	1	0	2	0	6	2	1	2	6	1	2	1	1	0	1	2	2	4	130	0	0	0	0	0	3	2	4	0	0	5	0	1	2	16	69	85	1	0	0	0	0	0	0	0	2	1	0	0	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	2	4	0	2	0	1
Bacteria	Unassigned	Acidobacteria	11	0	4	0	0	1	0	2	2	0	0	0	0	0	12	5	7	0	0	0	1	0	0	9	0	6	0	0	0	1	0	0	1	8	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0
Bacteria	Unassigned	Actinobacteria	18	12	18	10	13	7	18	17	21	13	9	7	14	9	14	18	9	6	17	13	15	6	6	12	9	9	4	3	4	18	10	2	5	7	6	2	9	6	20	4	0	5	1	3	1	1	9	2	0	1	7	2	1	2	1	2	2	0	2	14	9	3	7	9	1	1	2	0	1	1	1	0	1	2	1	1	2	0	10	9	17	10	2	0	8
Bacteria	Unassigned	Bacteroidetes	28	6	12	14	23	18	12	10	17	12	32	13	12	18	9	17	13	14	15	28	29	49	17	23	15	12	30	20	19	18	5	2	6	9	21	11	14	29	22	2	2	5	1	4	23	3	2	8	3	0	5	1	0	3	5	5	1	0	2	7	33	3	6	5	5	1	0	0	0	0	0	0	1	1	1	1	1	1	12	21	23	20	2	0	38
