superkingdom	kingdom	phylum	ERZ15614843_FASTA	ERZ15614844_FASTA	ERZ15614839_FASTA
Archaea	Unassigned	Crenarchaeota	1	0	1
Archaea	Unassigned	Euryarchaeota	1	3	5
Archaea	Unassigned	Thaumarchaeota	1	2	2
Archaea	Unassigned	Unassigned	0	0	1
Bacteria	Unassigned	Acidobacteria	4	21	8
Bacteria	Unassigned	Actinobacteria	3	39	11
Bacteria	Unassigned	Armatimonadetes	0	4	0
Bacteria	Unassigned	Bacteroidetes	0	5	3
Bacteria	Unassigned	Calditrichaeota	0	1	0
Bacteria	Unassigned	Candidatus_Dadabacteria	0	1	0
Bacteria	Unassigned	Candidatus_Levybacteria	0	0	1
Bacteria	Unassigned	Candidatus_Omnitrophica	0	1	0
Bacteria	Unassigned	Candidatus_Peregrinibacteria	0	1	0
Bacteria	Unassigned	Candidatus_Roizmanbacteria	0	0	1
Bacteria	Unassigned	Candidatus_Rokubacteria	1	1	1
Bacteria	Unassigned	Candidatus_Saccharibacteria	0	0	1
Bacteria	Unassigned	Chloroflexi	1	10	6
Bacteria	Unassigned	Firmicutes	0	3	3
Bacteria	Unassigned	Gemmatimonadetes	1	19	4
Bacteria	Unassigned	Nitrospinae	0	1	0
Bacteria	Unassigned	Nitrospirae	1	4	2
Bacteria	Unassigned	Planctomycetes	0	19	2
Bacteria	Unassigned	Proteobacteria	4	48	24
Bacteria	Unassigned	Unassigned	0	12	2
Bacteria	Unassigned	Verrucomicrobia	0	1	2
Bacteria	Unassigned	candidate_division_NC10	0	1	0
Eukaryota	Fungi	Ascomycota	0	2	2
Eukaryota	Fungi	Basidiomycota	1	0	0
Eukaryota	Fungi	Mucoromycota	1	0	0
Eukaryota	Metazoa	Nematoda	0	1	0
Eukaryota	Unassigned	Unassigned	0	0	3
Eukaryota	Viridiplantae	Chlorophyta	0	0	3
Unassigned	Unassigned	Unassigned	0	10	3
