superkingdom	kingdom	phylum	ERZ1745649_FASTA	ERZ1745657_FASTA	ERZ1745664_FASTA	ERZ1745659_FASTA	ERZ1745655_FASTA	ERZ1745654_FASTA	ERZ1745653_FASTA	ERZ1745652_FASTA	ERZ1745650_FASTA
Archaea	Unassigned	Crenarchaeota	0	0	1	0	0	1	0	0	0
Archaea	Unassigned	Euryarchaeota	0	0	2	0	1	2	0	3	1
Archaea	Unassigned	Nanoarchaeota	0	0	0	0	0	0	1	0	0
Archaea	Unassigned	Thaumarchaeota	1	2	1	1	1	1	2	1	0
Bacteria	Unassigned	Actinobacteria	0	0	1	0	1	2	0	0	0
Bacteria	Unassigned	Aquificae	1	0	1	0	3	0	0	0	0
Bacteria	Unassigned	Bacteroidetes	0	6	2	3	4	1	0	0	0
Bacteria	Unassigned	Candidatus_Marinimicrobia	0	0	1	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Nomurabacteria	0	1	0	1	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Omnitrophica	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Chloroflexi	0	0	0	0	0	0	1	0	0
Bacteria	Unassigned	Elusimicrobia	0	2	0	2	0	0	0	0	0
Bacteria	Unassigned	Fusobacteria	0	0	0	0	1	0	0	0	0
Bacteria	Unassigned	Nitrospinae	0	0	1	0	0	0	0	0	0
Bacteria	Unassigned	Planctomycetes	0	0	1	0	0	0	0	0	0
Bacteria	Unassigned	Proteobacteria	8	12	6	17	15	8	7	6	8
Bacteria	Unassigned	Spirochaetes	0	0	0	0	0	1	0	0	0
Bacteria	Unassigned	Unassigned	0	8	0	6	0	0	1	0	0
Bacteria	Unassigned	Verrucomicrobia	0	0	1	0	0	0	0	0	0
Eukaryota	Metazoa	Annelida	0	0	0	0	2	0	0	1	3
Eukaryota	Metazoa	Arthropoda	0	0	0	0	0	0	1	0	0
Eukaryota	Metazoa	Mollusca	2	0	2	0	0	1	0	1	0
Eukaryota	Metazoa	Unassigned	0	0	0	0	1	0	0	0	0
Eukaryota	Unassigned	Unassigned	0	0	0	0	1	0	0	0	0
Unassigned	Unassigned	Unassigned	0	3	3	3	0	1	0	1	0
