superkingdom	kingdom	phylum	ERZ1742239_FASTA
Archaea	Unassigned	Candidatus_Aenigmarchaeota	2
Archaea	Unassigned	Candidatus_Bathyarchaeota	3
Archaea	Unassigned	Candidatus_Diapherotrites	3
Archaea	Unassigned	Candidatus_Geothermarchaeota	1
Archaea	Unassigned	Candidatus_Heimdallarchaeota	2
Archaea	Unassigned	Candidatus_Korarchaeota	3
Archaea	Unassigned	Candidatus_Lokiarchaeota	1
Archaea	Unassigned	Candidatus_Woesearchaeota	1
Archaea	Unassigned	Crenarchaeota	94
Archaea	Unassigned	Euryarchaeota	39
Archaea	Unassigned	Nanoarchaeota	5
Archaea	Unassigned	Thaumarchaeota	13
Archaea	Unassigned	Unassigned	69
Bacteria	Unassigned	Acidobacteria	4
Bacteria	Unassigned	Actinobacteria	7
Bacteria	Unassigned	Armatimonadetes	1
Bacteria	Unassigned	Calditrichaeota	4
Bacteria	Unassigned	Candidatus_Adlerbacteria	1
Bacteria	Unassigned	Candidatus_Aerophobetes	3
Bacteria	Unassigned	Candidatus_Atribacteria	1
Bacteria	Unassigned	Candidatus_Bipolaricaulota	3
Bacteria	Unassigned	Candidatus_Buchananbacteria	1
Bacteria	Unassigned	Candidatus_Falkowbacteria	3
Bacteria	Unassigned	Candidatus_Giovannonibacteria	1
Bacteria	Unassigned	Candidatus_Hydrothermae	1
Bacteria	Unassigned	Candidatus_Jorgensenbacteria	2
Bacteria	Unassigned	Candidatus_Kerfeldbacteria	3
Bacteria	Unassigned	Candidatus_Kuenenbacteria	1
Bacteria	Unassigned	Candidatus_Latescibacteria	1
Bacteria	Unassigned	Candidatus_Magasanikbacteria	1
Bacteria	Unassigned	Candidatus_Marinimicrobia	4
Bacteria	Unassigned	Candidatus_Nealsonbacteria	1
Bacteria	Unassigned	Candidatus_Omnitrophica	3
Bacteria	Unassigned	Candidatus_Parcubacteria	9
Bacteria	Unassigned	Candidatus_Woesebacteria	2
Bacteria	Unassigned	Candidatus_Yanofskybacteria	1
Bacteria	Unassigned	Chloroflexi	21
Bacteria	Unassigned	Cyanobacteria	1
Bacteria	Unassigned	Deferribacteres	1
Bacteria	Unassigned	Elusimicrobia	1
Bacteria	Unassigned	Firmicutes	8
Bacteria	Unassigned	Gemmatimonadetes	1
Bacteria	Unassigned	Ignavibacteriae	1
Bacteria	Unassigned	Planctomycetes	20
Bacteria	Unassigned	Proteobacteria	28
Bacteria	Unassigned	Spirochaetes	2
Bacteria	Unassigned	Thermodesulfobacteria	3
Bacteria	Unassigned	Thermotogae	4
Bacteria	Unassigned	Unassigned	81
Bacteria	Unassigned	Verrucomicrobia	1
Eukaryota	Metazoa	Annelida	1
Unassigned	Unassigned	Unassigned	35
