superkingdom	kingdom	phylum	ERZ14212213_FASTA	ERZ14212212_FASTA	ERZ14212211_FASTA	ERZ14212210_FASTA	ERZ14212209_FASTA	ERZ14212208_FASTA
Archaea	Unassigned	Thaumarchaeota	2	2	0	0	0	0
Bacteria	Unassigned	Actinobacteria	0	1	0	0	0	0
Bacteria	Unassigned	Bacteroidetes	3	3	1	2	2	1
Bacteria	Unassigned	Elusimicrobia	0	0	2	0	1	0
Bacteria	Unassigned	Firmicutes	0	1	2	1	2	0
Bacteria	Unassigned	Planctomycetes	1	0	0	0	0	1
Bacteria	Unassigned	Proteobacteria	17	22	14	13	19	26
Bacteria	Unassigned	Spirochaetes	2	0	0	0	0	0
Bacteria	Unassigned	Tenericutes	0	0	1	1	2	0
Bacteria	Unassigned	Unassigned	1	0	0	0	1	0
Eukaryota	Fungi	Unassigned	0	0	0	0	1	0
Eukaryota	Metazoa	Annelida	0	0	0	0	0	1
Eukaryota	Metazoa	Cnidaria	0	2	2	0	0	6
Eukaryota	Metazoa	Nematoda	0	0	0	0	1	0
Eukaryota	Metazoa	Unassigned	0	0	0	0	0	2
Eukaryota	Unassigned	Unassigned	2	0	0	0	0	3
Unassigned	Unassigned	Unassigned	5	7	3	5	2	4
