superkingdom	kingdom	phylum	ERZ12792452_FASTA	ERZ9284146_FASTA	ERZ9284106_FASTA	ERZ9284066_FASTA	ERZ9284065_FASTA	ERZ12792451_FASTA	ERZ12792448_FASTA	ERZ9284048_FASTA	ERZ9284047_FASTA	ERZ9284153_FASTA	ERZ12792449_FASTA	ERZ12792447_FASTA	ERZ9284071_FASTA	ERZ9284063_FASTA	ERZ9284062_FASTA	ERZ9284060_FASTA	ERZ9284054_FASTA	ERZ9284016_FASTA	ERZ13635188_FASTA	ERZ12792450_FASTA
Archaea	Unassigned	Crenarchaeota	1	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	2	0
Archaea	Unassigned	Euryarchaeota	0	2	0	3	0	2	3	0	0	0	1	0	1	1	2	0	0	0	0	0
Archaea	Unassigned	Thaumarchaeota	1	1	0	1	0	1	1	0	1	0	1	2	2	2	0	0	0	0	1	0
Bacteria	Unassigned	Acidobacteria	1	2	5	2	2	0	0	2	6	4	0	0	3	7	4	2	2	0	1	0
Bacteria	Unassigned	Actinobacteria	0	2	2	4	2	2	1	1	3	3	1	1	7	11	4	3	1	2	4	0
Bacteria	Unassigned	Armatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Unassigned	Bacteroidetes	1	15	17	14	21	0	1	19	10	23	0	1	12	2	9	19	27	12	4	0
Bacteria	Unassigned	Caldiserica	0	1	3	0	1	0	0	3	0	4	0	0	3	0	0	1	0	0	0	0
Bacteria	Unassigned	Candidatus_Nomurabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
Bacteria	Unassigned	Candidatus_Rokubacteria	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Chloroflexi	0	3	3	3	3	0	0	2	0	4	0	0	4	10	2	4	1	1	3	0
Bacteria	Unassigned	Elusimicrobia	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Unassigned	Fibrobacteres	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Firmicutes	2	21	27	19	22	3	1	32	22	21	0	0	24	4	20	21	22	26	7	0
Bacteria	Unassigned	Fusobacteria	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0
Bacteria	Unassigned	Ignavibacteriae	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0
Bacteria	Unassigned	Kiritimatiellaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	Unassigned	Nitrospirae	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Bacteria	Unassigned	Planctomycetes	1	3	2	5	2	0	0	5	1	5	0	0	5	6	5	5	4	1	1	0
Bacteria	Unassigned	Proteobacteria	3	25	22	22	18	4	7	16	22	25	0	0	26	26	30	21	17	16	7	1
Bacteria	Unassigned	Spirochaetes	0	7	2	4	3	0	0	3	1	3	0	1	2	0	4	4	1	1	2	1
Bacteria	Unassigned	Tenericutes	0	2	0	0	4	0	0	1	0	0	0	0	0	0	0	1	4	2	0	0
Bacteria	Unassigned	Unassigned	0	10	6	10	10	0	2	6	4	6	2	1	10	4	6	11	5	2	1	3
Bacteria	Unassigned	Verrucomicrobia	0	0	0	1	0	0	0	0	0	0	1	1	2	2	1	0	0	0	0	2
Eukaryota	Fungi	Ascomycota	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1
Eukaryota	Fungi	Basidiomycota	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Eukaryota	Fungi	Unassigned	0	0	1	0	0	4	2	0	0	0	2	1	0	0	1	0	0	0	2	5
Eukaryota	Metazoa	Arthropoda	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	2	0	0	0
Eukaryota	Metazoa	Cnidaria	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Nematoda	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Eukaryota	Metazoa	Porifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eukaryota	Metazoa	Unassigned	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0
Eukaryota	Unassigned	Cercozoa	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0
Eukaryota	Unassigned	Discosea	2	0	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	3	0
Eukaryota	Unassigned	Evosea	6	0	0	0	0	5	3	0	0	0	5	2	0	0	0	0	0	0	7	6
Eukaryota	Unassigned	Heterolobosea	2	0	0	0	0	3	1	0	0	0	1	3	0	0	0	0	0	0	1	1
Eukaryota	Unassigned	Tubulinea	6	0	0	0	0	10	7	0	0	0	6	4	0	0	0	0	0	0	5	8
Eukaryota	Unassigned	Unassigned	11	1	0	0	0	17	16	0	0	0	15	9	1	1	1	1	1	1	13	12
Eukaryota	Viridiplantae	Streptophyta	1	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	1	1
Eukaryota	Viridiplantae	Unassigned	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0
Unassigned	Unassigned	Unassigned	2	9	8	5	9	0	3	8	4	10	2	0	8	8	7	10	13	9	3	0
