superkingdom	kingdom	phylum	SRR13485166_MERGED_FASTQ	SRR13485165_MERGED_FASTQ	SRR13485164_MERGED_FASTQ	SRR13485163_MERGED_FASTQ	SRR13485162_MERGED_FASTQ	SRR13485157_MERGED_FASTQ	SRR13485156_MERGED_FASTQ	SRR13485155_MERGED_FASTQ	SRR13485154_MERGED_FASTQ
Archaea	Unassigned	Candidatus_Diapherotrites	0	0	4	0	0	0	0	0	37
Archaea	Unassigned	Candidatus_Geothermarchaeota	0	0	0	0	0	0	0	0	2
Archaea	Unassigned	Candidatus_Odinarchaeota	0	4	0	0	0	0	0	0	0
Archaea	Unassigned	Candidatus_Woesearchaeota	0	0	2	0	1	0	0	0	0
Archaea	Unassigned	Crenarchaeota	0	0	0	0	0	0	0	0	10
Archaea	Unassigned	Euryarchaeota	100	1	1	3	0	0	0	0	10
Archaea	Unassigned	Thaumarchaeota	0	0	554	539	144	0	12	0	0
Archaea	Unassigned	Unassigned	31	1	25	9	6	0	0	0	26
Bacteria	Unassigned	Acidobacteria	16	132	118	154	96	157	102	21	118
Bacteria	Unassigned	Actinobacteria	8	55	9	5	10	37	44	21	80
Bacteria	Unassigned	Armatimonadetes	0	0	0	1	11	0	0	0	2
Bacteria	Unassigned	Bacteroidetes	1925	2983	975	1563	4854	1454	4148	686	3367
Bacteria	Unassigned	Caldiserica	0	0	0	0	0	0	0	0	1
Bacteria	Unassigned	Calditrichaeota	13	0	13	16	7	0	9	0	17
Bacteria	Unassigned	Candidatus_Buchananbacteria	0	0	0	0	0	0	1	0	2
Bacteria	Unassigned	Candidatus_Curtissbacteria	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Dadabacteria	0	0	1	1	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Gracilibacteria	0	0	0	0	1	0	0	0	0
Bacteria	Unassigned	Candidatus_Kaiserbacteria	0	0	1	4	1	0	0	0	0
Bacteria	Unassigned	Candidatus_Kerfeldbacteria	0	0	0	0	3	0	3	0	3
Bacteria	Unassigned	Candidatus_Komeilibacteria	0	0	1	0	0	0	1	0	11
Bacteria	Unassigned	Candidatus_Kuenenbacteria	0	1	0	0	0	0	0	0	3
Bacteria	Unassigned	Candidatus_Latescibacteria	0	2	0	0	0	0	9	1	8
Bacteria	Unassigned	Candidatus_Levybacteria	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Magasanikbacteria	0	0	0	0	0	0	0	0	1
Bacteria	Unassigned	Candidatus_Margulisbacteria	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Marinimicrobia	0	0	0	0	0	0	1	0	0
Bacteria	Unassigned	Candidatus_Omnitrophica	4	6	11	0	3	0	2	1	10
Bacteria	Unassigned	Candidatus_Pacebacteria	0	0	2	0	5	0	0	0	2
Bacteria	Unassigned	Candidatus_Peregrinibacteria	0	0	0	1	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Roizmanbacteria	0	0	0	1	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Saccharibacteria	0	0	1	0	7	0	1	0	0
Bacteria	Unassigned	Candidatus_Woesebacteria	0	6	7	1	2	0	2	1	20
Bacteria	Unassigned	Candidatus_Woykebacteria	0	0	1	0	4	0	1	0	0
Bacteria	Unassigned	Chlamydiae	0	2	0	0	0	0	6	0	2
Bacteria	Unassigned	Chlorobi	0	2	0	0	0	0	1	1	1
Bacteria	Unassigned	Chloroflexi	0	57	34	23	12	13	24	11	78
Bacteria	Unassigned	Cyanobacteria	1	2	0	0	0	0	2	0	2
Bacteria	Unassigned	Deferribacteres	1	19	0	0	0	0	35	1	2
Bacteria	Unassigned	Deinococcus-Thermus	2	0	0	0	1	0	1	0	0
Bacteria	Unassigned	Elusimicrobia	0	0	1	1	0	0	0	0	1
Bacteria	Unassigned	Fibrobacteres	0	0	0	0	0	0	1	0	8
Bacteria	Unassigned	Firmicutes	1364	2160	9	57	16	5568	3543	2074	1810
Bacteria	Unassigned	Fusobacteria	189	0	3	3	99	0	1	0	43
Bacteria	Unassigned	Gemmatimonadetes	5	13	9	17	12	0	3	6	10
Bacteria	Unassigned	Ignavibacteriae	0	32	4	6	37	0	16	8	48
Bacteria	Unassigned	Kiritimatiellaeota	0	2	6	2	14	0	0	0	0
Bacteria	Unassigned	Lentisphaerae	0	0	0	0	3	4	8	0	5
Bacteria	Unassigned	Nitrospinae	0	1	43	122	109	132	7	16	5
Bacteria	Unassigned	Nitrospirae	19	6	68	33	25	16	9	8	18
Bacteria	Unassigned	Planctomycetes	86	344	64	140	68	90	366	89	413
Bacteria	Unassigned	Proteobacteria	68567	37466	3693	2929	4482	56017	46197	44726	31179
Bacteria	Unassigned	Spirochaetes	102	261	2	0	2	461	277	526	212
Bacteria	Unassigned	Synergistetes	5	0	2	0	1	0	0	0	1
Bacteria	Unassigned	Tenericutes	239	150	0	0	1	1705	311	395	127
Bacteria	Unassigned	Thermodesulfobacteria	147	122	0	0	0	1224	197	234	85
Bacteria	Unassigned	Unassigned	666	122	15	22	11	454	107	106	243
