superkingdom	kingdom	phylum	ERZ12295397_FASTA	ERZ12295391_FASTA	ERZ13692220_FASTA	ERZ13692201_FASTA	ERZ13692216_FASTA	ERZ13692214_FASTA	ERZ13692212_FASTA	ERZ13692210_FASTA	ERZ13692205_FASTA	ERZ13692193_FASTA	ERZ13692192_FASTA	ERZ13692191_FASTA	ERZ13692166_FASTA	ERZ13692165_FASTA	ERZ12299276_FASTA	ERZ12299275_FASTA	ERZ12299274_FASTA	ERZ12299273_FASTA	ERZ12299272_FASTA	ERZ12299270_FASTA	ERZ12295461_FASTA	ERZ12295459_FASTA	ERZ12295455_FASTA	ERZ12295454_FASTA	ERZ13692198_FASTA	ERZ13692196_FASTA	ERZ12299269_FASTA	ERZ12295457_FASTA	ERZ12295452_FASTA	ERZ12295450_FASTA	ERZ12295441_FASTA	ERZ12295427_FASTA	ERZ13692219_FASTA	ERZ13692194_FASTA	ERZ12295451_FASTA	ERZ12295449_FASTA	ERZ12295448_FASTA	ERZ12295446_FASTA	ERZ12295445_FASTA	ERZ12295434_FASTA	ERZ12295433_FASTA	ERZ12295432_FASTA	ERZ12295429_FASTA	ERZ12295428_FASTA	ERZ12295426_FASTA	ERZ12295424_FASTA	ERZ12295423_FASTA	ERZ12295422_FASTA	ERZ12295419_FASTA	ERZ12295444_FASTA	ERZ12295443_FASTA	ERZ12295421_FASTA	ERZ12295420_FASTA	ERZ13692218_FASTA	ERZ13692217_FASTA	ERZ13692215_FASTA	ERZ13692213_FASTA	ERZ13692211_FASTA	ERZ13692209_FASTA	ERZ13692208_FASTA	ERZ13692207_FASTA	ERZ13692206_FASTA	ERZ13692204_FASTA	ERZ13692203_FASTA	ERZ13692202_FASTA	ERZ13692200_FASTA	ERZ13692199_FASTA	ERZ13692197_FASTA	ERZ13692195_FASTA	ERZ13692190_FASTA	ERZ13692189_FASTA	ERZ13692188_FASTA	ERZ13692187_FASTA	ERZ13692186_FASTA	ERZ13692185_FASTA	ERZ13692184_FASTA	ERZ13692183_FASTA	ERZ13692182_FASTA	ERZ13692181_FASTA	ERZ13692180_FASTA	ERZ13692178_FASTA	ERZ13692177_FASTA	ERZ13692173_FASTA	ERZ13692172_FASTA	ERZ13692179_FASTA	ERZ13692176_FASTA	ERZ13692175_FASTA	ERZ13692174_FASTA	ERZ13692171_FASTA	ERZ13692170_FASTA	ERZ13692169_FASTA	ERZ13692168_FASTA	ERZ13692167_FASTA	ERZ12299277_FASTA	ERZ12299271_FASTA	ERZ12295458_FASTA	ERZ12295440_FASTA	ERZ12295456_FASTA	ERZ12295453_FASTA	ERZ12295447_FASTA	ERZ12295442_FASTA	ERZ12295438_FASTA	ERZ12295425_FASTA	ERZ12295417_FASTA	ERZ12295416_FASTA	ERZ12295439_FASTA	ERZ12295437_FASTA	ERZ12295435_FASTA	ERZ12295413_FASTA	ERZ12295412_FASTA	ERZ12295410_FASTA	ERZ12295409_FASTA	ERZ12295407_FASTA	ERZ12295405_FASTA	ERZ12295404_FASTA	ERZ12295400_FASTA	ERZ12295408_FASTA	ERZ12295414_FASTA	ERZ12295411_FASTA	ERZ12295406_FASTA	ERZ12295402_FASTA	ERZ12295399_FASTA	ERZ12295398_FASTA	ERZ12295401_FASTA	ERZ12295396_FASTA	ERZ12295395_FASTA	ERZ12295394_FASTA	ERZ12295393_FASTA	ERZ12295392_FASTA	ERZ12295390_FASTA
Archaea	Unassigned	Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Unassigned	Euryarchaeota	4	3	7	12	1	3	9	4	6	3	0	6	2	6	8	7	5	6	0	0	9	4	4	8	8	3	4	3	5	5	7	9	0	3	3	6	2	5	5	7	5	7	4	10	7	0	5	0	8	4	2	5	8	1	6	5	8	6	6	18	5	9	7	8	8	9	1	5	5	5	5	7	10	0	0	4	5	5	5	6	5	6	13	3	6	5	0	5	6	8	1	5	3	4	4	4	11	3	9	7	0	4	10	7	4	3	4	1	3	7	4	10	8	6	4	5	7	6	5	0	11	5	8	1	6	5	2	3	6	4
Archaea	Unassigned	Thaumarchaeota	0	8	2	5	2	5	9	0	2	3	0	2	0	2	2	3	3	1	0	0	3	0	6	1	0	5	0	0	5	1	3	1	0	4	0	2	0	0	1	4	4	1	3	2	2	0	2	0	1	6	0	7	2	0	0	0	1	3	1	2	2	2	1	3	1	2	0	0	0	8	6	1	0	0	0	8	6	4	6	5	0	1	2	0	0	3	0	1	0	1	5	6	2	4	7	8	9	0	5	1	0	1	7	5	5	0	3	0	1	0	1	1	3	6	2	2	0	8	3	0	1	2	1	1	1	0	0	8	0	2
Archaea	Unassigned	Unassigned	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Acidobacteria	0	0	0	0	0	3	3	0	2	0	0	0	0	1	0	4	0	0	0	0	0	0	4	0	0	5	0	0	8	0	3	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	3	1	2	2	0	0	0	0	0	0	0	0	0	0	1	2	0	4	1	0	4	0	1	0	0	0	10	3	3	0	0	0	0	0	0	0	5	4	0	1	0	2	0	0	0	0	0	0	0	0	1	2	0	0
Bacteria	Unassigned	Actinobacteria	1	7	9	9	2	7	6	4	4	7	4	6	1	5	15	6	10	7	2	3	5	4	7	8	5	6	1	4	8	13	5	8	1	4	1	4	1	1	7	7	9	14	6	9	4	3	5	4	12	2	3	7	4	2	3	1	8	7	5	9	5	10	7	6	9	4	1	4	7	7	10	7	3	2	4	4	7	10	8	5	1	14	11	1	8	6	2	8	1	8	3	6	2	9	2	6	5	4	11	9	5	6	5	10	7	1	11	3	3	4	9	9	6	8	6	5	2	6	9	3	10	3	6	1	6	2	7	7	2	6
Bacteria	Unassigned	Bacteroidetes	7	2	8	8	6	3	6	10	9	8	8	14	5	4	8	5	6	8	3	5	5	9	2	11	14	3	6	2	7	7	8	10	8	8	13	11	9	9	16	4	3	10	5	9	7	6	8	7	8	0	8	5	10	6	8	10	11	3	7	15	5	10	11	4	8	9	9	9	8	6	6	6	17	6	6	3	4	5	8	7	18	12	12	17	8	5	5	5	11	10	4	5	6	7	3	3	5	5	12	10	6	11	4	4	5	5	5	9	5	7	4	7	2	3	7	8	9	3	4	5	12	6	11	5	4	10	7	5	8	6
Bacteria	Unassigned	Balneolaeota	0	0	3	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1
Bacteria	Unassigned	Candidatus_Cloacimonetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Dadabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
